"Team","Map","Condition","Attacking Wins","Attacking Losses","Defending Wins","Defending Losses"
"Luminosity Gaming","Breeze","kills (pre-plant)",0,5,4,0
"Luminosity Gaming","Breeze","time",0,1,1,0
"Luminosity Gaming","Fracture","bomb",5,0,0,2
"Luminosity Gaming","Fracture","defuse",0,2,3,0
"Luminosity Gaming","Fracture","kills (post-plant)",7,0,0,3
"Luminosity Gaming","Fracture","kills (pre-plant)",3,6,8,1
"Luminosity Gaming","Fracture","time",0,1,0,0
"Luminosity Gaming","Icebox","bomb",1,0,0,5
"Luminosity Gaming","Icebox","defuse",0,6,5,0
"Luminosity Gaming","Icebox","kills (post-plant)",10,0,0,11
"Luminosity Gaming","Icebox","kills (pre-plant)",1,2,4,0
"Luminosity Gaming","Icebox","time",0,1,0,0
"NRG Esports","Ascent","bomb",0,0,0,1
"NRG Esports","Ascent","defuse",0,3,2,0
"NRG Esports","Ascent","kills (post-plant)",5,0,0,3
"NRG Esports","Ascent","kills (pre-plant)",0,3,6,0
"NRG Esports","Bind","bomb",1,0,0,1
"NRG Esports","Bind","defuse",0,3,1,0
"NRG Esports","Bind","kills (post-plant)",5,0,0,5
"NRG Esports","Bind","kills (pre-plant)",0,3,1,1
"NRG Esports","Breeze","bomb",3,0,0,3
"NRG Esports","Breeze","defuse",0,5,5,0
"NRG Esports","Breeze","kills (post-plant)",7,0,0,7
"NRG Esports","Breeze","kills (pre-plant)",0,10,5,0
"NRG Esports","Breeze","time",0,1,0,0
"NRG Esports","Haven","bomb",0,0,0,2
"NRG Esports","Haven","defuse",0,2,1,0
"NRG Esports","Haven","kills (post-plant)",2,0,0,6
"NRG Esports","Haven","kills (pre-plant)",0,2,3,0
"NRG Esports","Haven","time",0,1,0,0
"NRG Esports","Split","bomb",1,0,0,1
"NRG Esports","Split","defuse",0,3,3,0
"NRG Esports","Split","kills (post-plant)",2,0,0,6
"NRG Esports","Split","kills (pre-plant)",1,2,2,0
"NRG Esports","Split","time",0,1,0,0
"OpTic Gaming","Ascent","bomb",3,0,0,1
"OpTic Gaming","Ascent","defuse",0,1,4,0
"OpTic Gaming","Ascent","kills (post-plant)",9,0,0,3
"OpTic Gaming","Ascent","kills (pre-plant)",1,5,8,1
"OpTic Gaming","Ascent","time",0,2,1,0
"OpTic Gaming","Bind","bomb",1,0,0,1
"OpTic Gaming","Bind","defuse",0,2,1,0
"OpTic Gaming","Bind","kills (post-plant)",2,0,0,1
"OpTic Gaming","Bind","kills (pre-plant)",0,4,8,0
"OpTic Gaming","Bind","time",0,0,1,0
"OpTic Gaming","Fracture","bomb",2,0,0,1
"OpTic Gaming","Fracture","defuse",0,4,1,0
"OpTic Gaming","Fracture","kills (post-plant)",11,0,0,3
"OpTic Gaming","Fracture","kills (pre-plant)",2,4,10,1
"OpTic Gaming","Fracture","time",0,1,0,0
"OpTic Gaming","Haven","bomb",2,0,0,1
"OpTic Gaming","Haven","defuse",0,3,1,0
"OpTic Gaming","Haven","kills (post-plant)",4,0,0,3
"OpTic Gaming","Haven","kills (pre-plant)",0,3,5,0
"OpTic Gaming","Haven","time",0,0,1,0
"OpTic Gaming","Icebox","bomb",0,0,0,3
"OpTic Gaming","Icebox","defuse",0,3,2,0
"OpTic Gaming","Icebox","kills (post-plant)",0,0,0,5
"OpTic Gaming","Icebox","kills (pre-plant)",0,2,2,0
"Sentinels","Ascent","bomb",1,0,0,2
"Sentinels","Ascent","defuse",0,0,3,0
"Sentinels","Ascent","kills (post-plant)",5,0,0,5
"Sentinels","Ascent","kills (pre-plant)",0,6,1,0
"Sentinels","Ascent","time",0,0,1,0
"Sentinels","Bind","bomb",2,0,0,3
"Sentinels","Bind","defuse",0,4,6,0
"Sentinels","Bind","kills (post-plant)",5,0,0,6
"Sentinels","Bind","kills (pre-plant)",0,12,6,0
"Sentinels","Bind","time",0,1,0,0
"Sentinels","Breeze","bomb",0,0,0,1
"Sentinels","Breeze","defuse",0,4,4,0
"Sentinels","Breeze","kills (post-plant)",6,0,0,4
"Sentinels","Breeze","kills (pre-plant)",0,4,5,0
"Sentinels","Breeze","time",0,1,1,0
"Sentinels","Fracture","bomb",0,0,0,3
"Sentinels","Fracture","defuse",0,2,2,0
"Sentinels","Fracture","kills (post-plant)",3,0,0,12
"Sentinels","Fracture","kills (pre-plant)",0,6,4,3
"Sentinels","Icebox","defuse",0,2,4,0
"Sentinels","Icebox","kills (post-plant)",3,0,0,6
"Sentinels","Icebox","kills (pre-plant)",1,5,1,0
"Sentinels","Icebox","time",0,0,1,0
"The Guard","Ascent","bomb",1,0,0,0
"The Guard","Ascent","defuse",0,5,4,0
"The Guard","Ascent","kills (post-plant)",1,0,0,2
"The Guard","Ascent","kills (pre-plant)",1,1,4,0
"The Guard","Ascent","time",0,0,2,0
"The Guard","Bind","bomb",3,0,0,2
"The Guard","Bind","defuse",0,2,0,0
"The Guard","Bind","kills (post-plant)",3,0,0,5
"The Guard","Bind","kills (pre-plant)",0,4,0,0
"The Guard","Fracture","bomb",1,0,0,2
"The Guard","Fracture","defuse",0,4,2,0
"The Guard","Fracture","kills (post-plant)",5,0,0,14
"The Guard","Fracture","kills (pre-plant)",0,4,5,1
"The Guard","Fracture","time",0,1,0,0
"The Guard","Haven","bomb",2,0,0,3
"The Guard","Haven","defuse",0,10,4,0
"The Guard","Haven","kills (post-plant)",6,0,0,6
"The Guard","Haven","kills (pre-plant)",1,3,1,0
"The Guard","Haven","time",0,1,0,0
"The Guard","Icebox","bomb",2,0,0,1
"The Guard","Icebox","defuse",0,3,4,0
"The Guard","Icebox","kills (post-plant)",5,0,0,2
"The Guard","Icebox","kills (pre-plant)",1,1,1,0
"TSM","Ascent","bomb",1,0,0,0
"TSM","Ascent","defuse",0,2,3,0
"TSM","Ascent","kills (post-plant)",3,0,0,5
"TSM","Ascent","kills (pre-plant)",0,6,3,0
"TSM","Breeze","bomb",2,0,0,3
"TSM","Breeze","defuse",0,5,4,0
"TSM","Breeze","kills (post-plant)",4,0,0,4
"TSM","Breeze","kills (pre-plant)",0,3,3,0
"TSM","Haven","bomb",3,0,0,2
"TSM","Haven","defuse",0,6,3,0
"TSM","Haven","kills (post-plant)",12,0,0,8
"TSM","Haven","kills (pre-plant)",1,2,4,1
"TSM","Icebox","bomb",1,0,0,2
"TSM","Icebox","defuse",0,4,3,0
"TSM","Icebox","kills (post-plant)",2,0,0,5
"TSM","Icebox","kills (pre-plant)",0,1,1,1
"TSM","Split","bomb",1,0,0,3
"TSM","Split","defuse",0,2,1,0
"TSM","Split","kills (post-plant)",4,0,0,1
"TSM","Split","kills (pre-plant)",0,3,6,0
"TSM","Split","time",0,1,1,0
"XSET","Bind","bomb",1,0,0,3
"XSET","Bind","defuse",0,3,3,0
"XSET","Bind","kills (post-plant)",7,0,0,8
"XSET","Bind","kills (pre-plant)",1,5,10,0
"XSET","Bind","time",0,2,0,0
"XSET","Breeze","defuse",0,4,0,0
"XSET","Breeze","kills (post-plant)",3,0,0,3
"XSET","Breeze","kills (pre-plant)",0,4,1,1
"XSET","Breeze","time",0,1,0,0
"XSET","Fracture","bomb",1,0,0,2
"XSET","Fracture","defuse",0,1,2,0
"XSET","Fracture","kills (post-plant)",5,0,0,3
"XSET","Fracture","kills (pre-plant)",0,3,4,0
"XSET","Fracture","time",0,0,1,0
"XSET","Haven","bomb",2,0,0,1
"XSET","Haven","defuse",0,2,3,0
"XSET","Haven","kills (post-plant)",6,0,0,6
"XSET","Haven","kills (pre-plant)",0,1,1,0
"XSET","Haven","time",0,1,1,0
"XSET","Split","bomb",1,0,0,1
"XSET","Split","defuse",0,3,3,0
"XSET","Split","kills (post-plant)",6,0,0,2
"XSET","Split","kills (pre-plant)",0,2,2,1
"XSET","Split","time",0,0,1,0
